artist,title,duration_before,duration_after
Lyodra,Tak Dianggap,2:60,3:00
Rosa Linn,SNAP,2:60,3:00
Radiohead,Let Down,4:60,5:00
Taylor Swift,cardigan,3:60,4:00
Melanie Martinez,Play Date,2:60,3:00
Juice WRLD,Lucid Dreams,3:60,4:00
Shanna Shannon,Rela,3:60,4:00
Yovie & Nuno,Merindu Lagi (Pada Kekasih Orang),2:60,3:00
Jung Kook,Still With You,3:60,4:00
Fresly Nikijuluw,Tamang Pung Kisah,3:60,4:00
BTS,Dis-ease,3:60,4:00
LISA,New Woman,2:60,3:00
Why Don't We,Big Plans,2:60,3:00
Billie Eilish,LUNCH,2:60,3:00
V,Rainy Days,2:60,3:00
Lauv,Superhero,2:60,3:00
Queen,Killer Queen - Remastered 2011,2:60,3:00
San Holo,Light,3:60,4:00
Sam Smith,My Oasis,2:60,3:00
JENNIE,You & Me (Coachella ver.),2:60,3:00
Brisia Jodie,Ku Ingin Memilikimu,3:60,4:00
Armada,Mabuk Cinta,3:60,4:00
BTS,Let Go,4:60,5:00
Ed Sheeran,Nancy Mulligan,2:60,3:00
Bebe Rexha,No Broken Hearts,3:60,4:00
Michael Bublé,Holly Jolly Christmas,1:60,2:00
SEVENTEEN,Circles,3:60,4:00
Rich Brian,Slow Down Turbo,3:60,4:00
YUNGBLUD,11 Minutes,3:60,4:00
Ariana Grande,off the table,3:60,4:00
QoryGore,The Beast,2:60,3:00
Michael Bublé,Nobody But Me,2:60,3:00
John Mayer,Emoji of a Wave,3:60,4:00
Billie Eilish,my strange addiction,2:60,3:00
SHINee,네가 남겨둔 말 Our Page,3:60,4:00
Soundwave,Salah,2:60,3:00
Galantis,Girls On Boys,2:60,3:00
Sandy Canester,Sedang Jatuh Cinta,3:60,4:00
Frente!,Bizarre Love Triangle - 2014 Remaster,1:60,2:00
Shaggy,That Love,3:60,4:00
Desiigner,Tiimmy Turner,3:60,4:00
