reason,artist,title,duration,bpm,status
invalid_duration,Lyodra,Tak Dianggap,2:60,126,ok
invalid_duration,Rosa Linn,SNAP,2:60,170,ok
invalid_duration,Radiohead,Let Down,4:60,102,ok
invalid_duration,Taylor Swift,cardigan,3:60,130,ok
invalid_duration,Melanie Martinez,Play Date,2:60,124,ok
invalid_duration,Juice WRLD,Lucid Dreams,3:60,84,ok
invalid_duration,Shanna Shannon,Rela,3:60,169,ok
invalid_duration,Yovie & Nuno,Merindu Lagi (Pada Kekasih Orang),2:60,128,ok
invalid_duration,Jung Kook,Still With You,3:60,88,ok
invalid_duration,Fresly Nikijuluw,Tamang Pung Kisah,3:60,91,ok
invalid_duration,BTS,Dis-ease,3:60,101,ok
invalid_duration,LISA,New Woman,2:60,141,ok
invalid_duration,Why Don't We,Big Plans,2:60,75,ok
invalid_duration,Billie Eilish,LUNCH,2:60,125,ok
invalid_duration,V,Rainy Days,2:60,75,ok
invalid_duration,Lauv,Superhero,2:60,130,ok
invalid_duration,Queen,Killer Queen - Remastered 2011,2:60,117,ok
invalid_duration,San Holo,Light,3:60,150,ok
invalid_duration,Sam Smith,My Oasis,2:60,144,ok
invalid_duration,JENNIE,You & Me (Coachella ver.),2:60,112,ok
invalid_duration,Brisia Jodie,Ku Ingin Memilikimu,3:60,62,ok
invalid_duration,Armada,Mabuk Cinta,3:60,120,ok
invalid_duration,BTS,Let Go,4:60,174,ok
invalid_duration,Ed Sheeran,Nancy Mulligan,2:60,102,ok
invalid_duration,Bebe Rexha,No Broken Hearts,3:60,122,ok
invalid_duration,Michael Bublé,Holly Jolly Christmas,1:60,151,ok
invalid_duration,SEVENTEEN,Circles,3:60,82,ok
invalid_duration,Rich Brian,Slow Down Turbo,3:60,78,ok
invalid_duration,YUNGBLUD,11 Minutes,3:60,160,ok
invalid_duration,Ariana Grande,off the table,3:60,88,ok
invalid_duration,QoryGore,The Beast,2:60,145,ok
invalid_duration,Michael Bublé,Nobody But Me,2:60,94,ok
invalid_duration,John Mayer,Emoji of a Wave,3:60,166,ok
invalid_duration,Billie Eilish,my strange addiction,2:60,100,ok
invalid_duration,SHINee,네가 남겨둔 말 Our Page,3:60,107,ok
invalid_duration,Soundwave,Salah,2:60,145,ok
invalid_duration,Galantis,Girls On Boys,2:60,96,ok
invalid_duration,Sandy Canester,Sedang Jatuh Cinta,3:60,126,ok
invalid_duration,Frente!,Bizarre Love Triangle - 2014 Remaster,1:60,123,ok
invalid_duration,Shaggy,That Love,3:60,100,ok
invalid_duration,Desiigner,Tiimmy Turner,3:60,123,ok
