artist,title,bpm,key,camelot,energy,danceability,happiness,popularity,acousticness,instrumentalness,speechiness,duration,status
For Revenge,Serana,130,D Major,10B,65,44,25,80,6,37,3,4:10,ok
Feby Putri,Runtuh,128,E♭ Major,5B,29,59,19,80,88,0,3,3:44,ok
Anggi Marito,Tak Segampang Itu,130,F Major,7B,44,51,18,75,76,0,3,3:51,ok
Nadin Amizah,Bertaut,119,F♯ Major,2B,13,47,12,81,93,0,4,5:16,ok
Hindia,Rumah Ke Rumah,116,B Major,1B,79,72,49,82,46,62,3,4:37,ok
Raim Laode,Komang,134,G Major,9B,41,70,35,18,41,0,3,3:43,ok
Last Child,Duka,135,C Major,8B,89,57,31,79,12,0,4,5:25,ok
Virgoun,Selamat (Selamat Tinggal),80,C Major,8B,58,36,37,81,52,0,3,5:14,ok
Tulus,Monokrom,88,F♯ Major,2B,46,53,52,82,57,0,3,3:35,ok
Juicy Luicy,Lantas,86,A♭ Major,4B,31,59,55,78,79,0,3,3:54,ok
Lyodra,Pesan Terakhir,120,D Major,10B,36,52,14,80,43,0,3,4:21,ok
Pamungkas,Monolog,97,E Major,12B,58,48,30,87,11,56,3,3:27,ok
Nadhif Basalamah,penjaga hati,156,D Major,10B,36,51,33,80,88,3,3,4:20,ok
Hindia,Evaluasi,102,G Major,9B,97,61,51,78,0,0,6,3:14,ok
Vierra,Seandainya,94,D Major,10B,83,25,48,80,8,0,3,4:23,ok
Andra & The Backbone,Sempurna,115,E Major,12B,32,36,38,80,73,0,3,4:28,ok
Tulus,Hati-Hati di Jalan,72,F♯ Major,2B,44,64,76,78,70,9,4,4:02,ok
.Feast,Nina,90,D Major,10B,63,46,33,80,18,44,3,4:38,ok
Batas Senja,Nanti Kita Seperti Ini,85,C Major,8B,43,53,40,81,30,0,2,3:30,ok
Suara Kayu,Kembali Pulang,142,C♯ Major,3B,24,56,33,79,95,1,3,3:28,ok
Hindia,Secukupnya,102,A Minor,8A,80,73,93,78,19,6,3,3:25,ok
Hindia,Cincin,155,E Minor,9A,88,53,48,84,0,0,6,4:26,ok
Halstage,L,153,D Major,10B,36,65,48,74,83,0,3,3:41,ok
One Direction,Night Changes,120,A♭ Major,4B,52,67,37,88,86,0,4,3:47,ok
Tulus,Interaksi,178,A Major,11B,34,46,75,74,78,0,3,2:50,ok
Juicy Luicy,Tampar,170,F♯ Major,2B,38,46,43,66,65,0,3,3:23,ok
Pamungkas,To the Bone,140,G Minor,6A,73,67,94,77,51,0,3,5:45,ok
Bernadya,Satu Bulan,86,C Major,8B,30,44,24,77,94,5,4,3:20,ok
Mahalini,Sial,120,D Major,10B,43,56,19,75,89,0,4,4:04,ok
Fourtwnty,Mangu,94,G Major,9B,33,53,18,77,60,0,2,4:22,ok
Budi Doremi,Tak Kan Hilang,140,E Major,12B,26,53,35,76,82,0,3,4:02,ok
Sheila On 7,Dan...,125,A♭ Major,4B,54,66,54,84,16,1,3,4:49,ok
Ghea Indrawari,Jiwa Yang Bersedih,97,D Major,10B,39,36,45,68,81,0,3,4:38,ok
Mahalini,Sisa Rasa,122,G♯ Minor,1A,41,49,15,75,51,0,3,4:15,ok
For Revenge,Jakarta Hari Ini,114,F Major,7B,84,53,26,71,28,0,4,3:44,ok
Keisya Levronka,Tak Ingin Usai,130,C Major,8B,40,49,14,67,82,0,3,4:39,ok
raissa anggiani,Kau Rumahku,170,C♯ Major,3B,32,35,28,72,87,0,4,4:35,ok
Payung Teduh,Untuk Perempuan Yang Sedang Di Pelukan,149,A Major,11B,49,48,46,76,55,0,3,5:42,ok
Ruth B.,Dandelions,117,C♯ Major,3B,69,61,45,85,2,0,3,3:54,ok
Fabio Asher,Rumah Singgah,78,A♭ Major,4B,23,42,37,12,72,0,3,4:07,ok
Arctic Monkeys,I Wanna Be Yours,68,C Minor,5A,42,46,48,92,14,2,3,3:04,ok
Dudy Oris,Aku Yang Jatuh Cinta,172,A Major,11B,35,25,26,76,44,0,3,3:16,ok
Adrian Khalif,Sialan,142,B♭ Major,6B,58,59,66,67,40,0,3,4:01,ok
d4vd,Here With Me,132,E Major,12B,45,57,26,85,53,0,3,4:02,ok
Daun Jatuh,Resah Jadi Luka,100,D Major,10B,27,32,18,76,95,24,3,4:50,ok
Aziz Hedra,Somebody's Pleasure,117,B♭ Major,6B,49,63,23,72,84,0,3,3:44,ok
Bernadya,Kata Mereka Ini Berlebihan,78,A Major,11B,44,40,22,73,88,3,4,3:11,ok
Nadhif Basalamah,bergema sampai selamanya,160,A♭ Major,4B,51,26,21,79,76,3,3,3:19,ok
The 1975,About You,96,D Major,10B,76,42,46,87,31,80,3,5:26,ok
Tiara Andini,Janji Setia,128,E Major,12B,41,47,29,74,71,0,3,4:21,ok
Raim Laode,Lesung Pipi,136,C Major,8B,38,60,40,30,47,0,3,3:45,ok
Billie Eilish,BIRDS OF A FEATHER,105,D Major,10B,51,75,44,95,20,6,4,3:30,ok
The Walters,I Love You So,76,B♭ Major,6B,65,57,47,87,58,0,4,2:40,ok
Lady Gaga,Die With A Smile,158,F♯ Minor,11A,59,52,54,91,31,0,3,4:12,ok
Awdella,Tertawan Hati,129,F♯ Major,2B,43,32,25,71,66,0,3,3:58,ok
James Arthur,Car's Outside,150,A Major,11B,56,34,26,82,4,0,3,4:09,ok
Henry Moodie,drunk text,95,C Major,8B,49,61,18,74,7,0,3,3:07,ok
James Arthur,Rewrite The Stars,126,B♭ Major,6B,74,67,57,80,24,0,4,3:38,ok
Olivia Rodrigo,happier,169,F♯ Major,2B,44,40,34,84,77,0,13,2:56,ok
Tiara Andini,Usai,109,G Major,9B,36,46,13,68,86,0,3,3:37,ok
